Universidad,Curso,Genero,Valor
Cádiz, "2009-2010", Total, 787
Cádiz, "2009-2010", Mujeres, 128
Cádiz, "2008-2009", Total, 778
Cádiz, "2008-2009", Mujeres, 139
Cádiz, "2007-2008", Total, 804
Cádiz, "2007-2008", Mujeres, 159
Cádiz, "2006-2007", Total, 832
Cádiz, "2006-2007", Mujeres, 165
Cádiz, "2005-2006", Total, 821
Cádiz, "2005-2006", Mujeres, 166
Cádiz, "2004-2005", Total, 792
Cádiz, "2004-2005", Mujeres, 155
Cádiz, "2003-2004", Total, 726
Cádiz, "2003-2004", Mujeres, 150
Cádiz, "2002-2003", Total, 643
Cádiz, "2002-2003", Mujeres, 136
Cádiz, "2001-2002", Total, 607
Cádiz, "2001-2002", Mujeres, 133
Cádiz, "2000-2001", Total, 599
Cádiz, "2000-2001", Mujeres, 121
Cádiz, "1999-2000", Total, 616
Cádiz, "1999-2000", Mujeres, 124
Cádiz, "1998-1999", Total, 640
Cádiz, "1998-1999", Mujeres, 129
Cádiz, "1997-1998", Total, 652
Cádiz, "1997-1998", Mujeres, 129
Cádiz, "1996-1997", Total, 736
Cádiz, "1996-1997", Mujeres, 151
Cádiz, "1995-1996", Total, 759
Cádiz, "1995-1996", Mujeres, 156
Cádiz, "1994-1995", Total, 754
Cádiz, "1994-1995", Mujeres, 174
Cádiz, "1993-1994", Total, 761
Cádiz, "1993-1994", Mujeres, 92
Cádiz, "1992-1993", Total, 613
Cádiz, "1992-1993", Mujeres, 129
Cádiz, "1991-1992", Total, 576
Cádiz, "1991-1992", Mujeres, 86
Cádiz, "1990-1991", Total, 259
Cádiz, "1990-1991", Mujeres, 66
Cádiz, "1989-1990", Total, 362
Cádiz, "1989-1990", Mujeres, 106
Córdoba, "2016-2017", Total, 492
Córdoba, "2016-2017", Mujeres, 40
Córdoba, "2015-2016", Total, 500
Córdoba, "2015-2016", Mujeres, 41
Córdoba, "2014-2015", Total, 629
Córdoba, "2014-2015", Mujeres, 85
Córdoba, "2013-2014", Total, 611
Córdoba, "2013-2014", Mujeres, 77
Córdoba, "2012-2013", Total, 652
Córdoba, "2012-2013", Mujeres, 93
Córdoba, "2011-2012", Total, 719
Córdoba, "2011-2012", Mujeres, 102
Córdoba, "2010-2011", Total, 790
Córdoba, "2010-2011", Mujeres, 123
Córdoba, "2009-2010", Total, 815
Córdoba, "2009-2010", Mujeres, 138
Córdoba, "2008-2009", Total, 822
Córdoba, "2008-2009", Mujeres, 150
Córdoba, "2007-2008", Total, 961
Córdoba, "2007-2008", Mujeres, 201
Córdoba, "2006-2007", Total, 1013
Córdoba, "2006-2007", Mujeres, 196
Córdoba, "2005-2006", Total, 1005
Córdoba, "2005-2006", Mujeres, 191
Córdoba, "2004-2005", Total, 933
Córdoba, "2004-2005", Mujeres, 186
Córdoba, "2003-2004", Total, 924
Córdoba, "2003-2004", Mujeres, 200
Córdoba, "2002-2003", Total, 907
Córdoba, "2002-2003", Mujeres, 206
Córdoba, "2001-2002", Total, 833
Córdoba, "2001-2002", Mujeres, 188
Córdoba, "2000-2001", Total, 814
Córdoba, "2000-2001", Mujeres, 171
Córdoba, "1999-2000", Total, 804
Córdoba, "1999-2000", Mujeres, 173
Córdoba, "1998-1999", Total, 786
Córdoba, "1998-1999", Mujeres, 161
Córdoba, "1997-1998", Total, 718
Córdoba, "1997-1998", Mujeres, 154
Córdoba, "1996-1997", Total, 651
Córdoba, "1996-1997", Mujeres, 127
Córdoba, "1995-1996", Total, 602
Córdoba, "1995-1996", Mujeres, 128
Córdoba, "1994-1995", Total, 485
Córdoba, "1994-1995", Mujeres, 111
Córdoba, "1993-1994", Total, 445
Córdoba, "1993-1994", Mujeres, 107
Córdoba, "1992-1993", Total, 370
Córdoba, "1992-1993", Mujeres, 82
Córdoba, "1991-1992", Total, 373
Córdoba, "1991-1992", Mujeres, 83
Córdoba, "1990-1991", Total, 255
Córdoba, "1990-1991", Mujeres, 67
Córdoba, "1989-1990", Total, 208
Córdoba, "1989-1990", Mujeres, 67
Córdoba, "1988-1989", Total, 138
Córdoba, "1988-1989", Mujeres, 40
Córdoba, "1987-1988", Total, 86
Córdoba, "1987-1988", Mujeres, 29
Extremadura, "2016-2017", Total, 433
Extremadura, "2016-2017", Mujeres, 44
Extremadura, "2015-2016", Total, 418
Extremadura, "2015-2016", Mujeres, 52
Extremadura, "2014-2015", Total, 424
Extremadura, "2014-2015", Mujeres, 53
Extremadura, "2013-2014", Total, 480
Extremadura, "2013-2014", Mujeres, 58
Extremadura, "2012-2013", Total, 522
Extremadura, "2012-2013", Mujeres, 69
Extremadura, "2011-2012", Total, 652
Extremadura, "2011-2012", Mujeres, 92
Extremadura, "2010-2011", Total, 747
Extremadura, "2010-2011", Mujeres, 109
Extremadura, "2009-2010", Total, 906
Extremadura, "2009-2010", Mujeres, 149
Extremadura, "2008-2009", Total, 1049
Extremadura, "2008-2009", Mujeres, 185
Extremadura, "2007-2008", Total, 1214
Extremadura, "2007-2008", Mujeres, 234
Extremadura, "2006-2007", Total, 1424
Extremadura, "2006-2007", Mujeres, 299
Extremadura, "2005-2006", Total, 1630
Extremadura, "2005-2006", Mujeres, 357
Extremadura, "2004-2005", Total, 1775
Extremadura, "2004-2005", Mujeres, 394
Extremadura, "2003-2004", Total, 1925
Extremadura, "2003-2004", Mujeres, 437
Extremadura, "2002-2003", Total, 2078
Extremadura, "2002-2003", Mujeres, 500
Extremadura, "2001-2002", Total, 2228
Extremadura, "2001-2002", Mujeres, 552
Extremadura, "2000-2001", Total, 2247
Extremadura, "2000-2001", Mujeres, 589
Extremadura, "1999-2000", Total, 2065
Extremadura, "1999-2000", Mujeres, 528
Extremadura, "1998-1999", Total, 2071
Extremadura, "1998-1999", Mujeres, 1119
Extremadura, "1997-1998", Total, 2084
Extremadura, "1997-1998", Mujeres, 684
Extremadura, "1996-1997", Total, 2104
Extremadura, "1996-1997", Mujeres, 612
Extremadura, "1995-1996", Total, 2163
Extremadura, "1995-1996", Mujeres, 666
Extremadura, "1994-1995", Total, 2038
Extremadura, "1994-1995", Mujeres, 826
Extremadura, "1993-1994", Total, 1836
Extremadura, "1993-1994", Mujeres, 606
Extremadura, "1992-1993", Total, 1960
Extremadura, "1992-1993", Mujeres, 659
Extremadura, "1991-1992", Total, 1930
Extremadura, "1991-1992", Mujeres, 669
Extremadura, "1990-1991", Total, 1889
Extremadura, "1990-1991", Mujeres, 819
Extremadura, "1989-1990", Total, 1932
Extremadura, "1989-1990", Mujeres, 724
Extremadura, "1988-1989", Total, 1826
Extremadura, "1988-1989", Mujeres, 688
Extremadura, "1987-1988", Total, 1836
Extremadura, "1987-1988", Mujeres, 639
Extremadura, "1986-1987", Total, 1886
Extremadura, "1986-1987", Mujeres, 657
Extremadura, "1985-1986", Total, 1720
Extremadura, "1985-1986", Mujeres, 511
Girona, "2016-2017", Total, 429
Girona, "2016-2017", Mujeres, 32
Girona, "2015-2016", Total, 378
Girona, "2015-2016", Mujeres, 32
Girona, "2014-2015", Total, 349
Girona, "2014-2015", Mujeres, 31
Girona, "2013-2014", Total, 377
Girona, "2013-2014", Mujeres, 40
Girona, "2012-2013", Total, 379
Girona, "2012-2013", Mujeres, 37
Girona, "2011-2012", Total, 422
Girona, "2011-2012", Mujeres, 39
Girona, "2010-2011", Total, 442
Girona, "2010-2011", Mujeres, 43
Girona, "2009-2010", Total, 466
Girona, "2009-2010", Mujeres, 51
Girona, "2008-2009", Total, 489
Girona, "2008-2009", Mujeres, 59
Girona, "2007-2008", Total, 552
Girona, "2007-2008", Mujeres, 80
Girona, "2006-2007", Total, 620
Girona, "2006-2007", Mujeres, 84
Girona, "2005-2006", Total, 728
Girona, "2005-2006", Mujeres, 88
Girona, "2004-2005", Total, 758
Girona, "2004-2005", Mujeres, 98
Girona, "2003-2004", Total, 766
Girona, "2003-2004", Mujeres, 97
Girona, "2002-2003", Total, 761
Girona, "2002-2003", Mujeres, 124
Girona, "2001-2002", Total, 713
Girona, "2001-2002", Mujeres, 118
Girona, "2000-2001", Total, 667
Girona, "2000-2001", Mujeres, 101
Girona, "1999-2000", Total, 629
Girona, "1999-2000", Mujeres, 97
Girona, "1998-1999", Total, 600
Girona, "1998-1999", Mujeres, 97
Girona, "1997-1998", Total, 579
Girona, "1997-1998", Mujeres, 95
Girona, "1996-1997", Total, 519
Girona, "1996-1997", Mujeres, 80
Girona, "1995-1996", Total, 509
Girona, "1995-1996", Mujeres, 80
Girona, "1994-1995", Total, 486
Girona, "1994-1995", Mujeres, 84
Girona, "1993-1994", Total, 489
Girona, "1993-1994", Mujeres, 112
Girona, "1992-1993", Total, 486
Girona, "1992-1993", Mujeres, 85
Granada, "2016-2017", Total, 1390
Granada, "2016-2017", Mujeres, 138
Granada, "2015-2016", Total, 1376
Granada, "2015-2016", Mujeres, 130
Granada, "2014-2015", Total, 1350
Granada, "2014-2015", Mujeres, 132
Granada, "2013-2014", Total, 1413
Granada, "2013-2014", Mujeres, 141
Granada, "2012-2013", Total, 1492
Granada, "2012-2013", Mujeres, 157
Granada, "2011-2012", Total, 1721
Granada, "2011-2012", Mujeres, 217
Granada, "2010-2011", Total, 1778
Granada, "2010-2011", Mujeres, 237
Granada, "2009-2010", Total, 1842
Granada, "2009-2010", Mujeres, 272
Granada, "2008-2009", Total, 1916
Granada, "2008-2009", Mujeres, 288
Granada, "2007-2008", Total, 1922
Granada, "2007-2008", Mujeres, 314
Granada, "2006-2007", Total, 2047
Granada, "2006-2007", Mujeres, 360
Granada, "2005-2006", Total, 2075
Granada, "2005-2006", Mujeres, 375
Granada, "2004-2005", Total, 2063
Granada, "2004-2005", Mujeres, 396
Granada, "2003-2004", Total, 2010
Granada, "2003-2004", Mujeres, 388
Granada, "2002-2003", Total, 1806
Granada, "2002-2003", Mujeres, 349
Granada, "2001-2002", Total, 1656
Granada, "2001-2002", Mujeres, 305
Granada, "2000-2001", Total, 1680
Granada, "2000-2001", Mujeres, 279
Granada, "1999-2000", Total, 1660
Granada, "1999-2000", Mujeres, 286
Granada, "1998-1999", Total, 1737
Granada, "1998-1999", Mujeres, 297
Granada, "1997-1998", Total, 1791
Granada, "1997-1998", Mujeres, 333
Granada, "1996-1997", Total, 1778
Granada, "1996-1997", Mujeres, 353
Granada, "1995-1996", Total, 1792
Granada, "1995-1996", Mujeres, 364
Granada, "1994-1995", Total, 1860
Granada, "1994-1995", Mujeres, 401
Granada, "1993-1994", Total, 1907
Granada, "1993-1994", Mujeres, 359
Granada, "1992-1993", Total, 1935
Granada, "1992-1993", Mujeres, 410
Granada, "1991-1992", Total, 2288
Granada, "1991-1992", Mujeres, 505
Granada, "1990-1991", Total, 2034
Granada, "1990-1991", Mujeres, 491
Granada, "1989-1990", Total, 1876
Granada, "1989-1990", Mujeres, 454
Granada, "1988-1989", Total, 1200
Granada, "1988-1989", Mujeres, 318
Granada, "1987-1988", Total, 1054
Granada, "1987-1988", Mujeres, 285
Granada, "1986-1987", Total, 803
Granada, "1986-1987", Mujeres, 218
Granada, "1985-1986", Total, 447
Granada, "1985-1986", Mujeres, 106
Huelva, "2016-2017", Total, 314
Huelva, "2016-2017", Mujeres, 35
Huelva, "2015-2016", Total, 299
Huelva, "2015-2016", Mujeres, 30
Huelva, "2014-2015", Total, 323
Huelva, "2014-2015", Mujeres, 44
Huelva, "2013-2014", Total, 371
Huelva, "2013-2014", Mujeres, 47
Huelva, "2012-2013", Total, 363
Huelva, "2012-2013", Mujeres, 39
Huelva, "2011-2012", Total, 379
Huelva, "2011-2012", Mujeres, 39
Huelva, "2010-2011", Total, 435
Huelva, "2010-2011", Mujeres, 53
Huelva, "2009-2010", Total, 490
Huelva, "2009-2010", Mujeres, 71
Huelva, "2008-2009", Total, 584
Huelva, "2008-2009", Mujeres, 100
Huelva, "2007-2008", Total, 660
Huelva, "2007-2008", Mujeres, 119
Huelva, "2006-2007", Total, 742
Huelva, "2006-2007", Mujeres, 140
Huelva, "2005-2006", Total, 814
Huelva, "2005-2006", Mujeres, 156
Huelva, "2004-2005", Total, 920
Huelva, "2004-2005", Mujeres, 172
Huelva, "2003-2004", Total, 893
Huelva, "2003-2004", Mujeres, 161
Huelva, "2002-2003", Total, 998
Huelva, "2002-2003", Mujeres, 179
Huelva, "2001-2002", Total, 1010
Huelva, "2001-2002", Mujeres, 176
Huelva, "2000-2001", Total, 903
Huelva, "2000-2001", Mujeres, 158
Huelva, "1999-2000", Total, 836
Huelva, "1999-2000", Mujeres, 148
Huelva, "1998-1999", Total, 816
Huelva, "1998-1999", Mujeres, 158
Huelva, "1997-1998", Total, 843
Huelva, "1997-1998", Mujeres, 153
Huelva, "1996-1997", Total, 830
Huelva, "1996-1997", Mujeres, 167
Huelva, "1995-1996", Total, 815
Huelva, "1995-1996", Mujeres, 170
Huelva, "1994-1995", Total, 763
Huelva, "1994-1995", Mujeres, 400
Huelva, "1993-1994", Total, 638
Huelva, "1993-1994", Mujeres, 130
Illes Balears (Les), "2016-2017", Total, 508
Illes Balears (Les), "2016-2017", Mujeres, 39
Illes Balears (Les), "2015-2016", Total, 465
Illes Balears (Les), "2015-2016", Mujeres, 34
Illes Balears (Les), "2014-2015", Total, 484
Illes Balears (Les), "2014-2015", Mujeres, 43
Illes Balears (Les), "2013-2014", Total, 503
Illes Balears (Les), "2013-2014", Mujeres, 46
Illes Balears (Les), "2012-2013", Total, 520
Illes Balears (Les), "2012-2013", Mujeres, 55
Illes Balears (Les), "2011-2012", Total, 509
Illes Balears (Les), "2011-2012", Mujeres, 64
Illes Balears (Les), "2010-2011", Total, 538
Illes Balears (Les), "2010-2011", Mujeres, 53
Illes Balears (Les), "2009-2010", Total, 545
Illes Balears (Les), "2009-2010", Mujeres, 55
Illes Balears (Les), "2008-2009", Total, 558
Illes Balears (Les), "2008-2009", Mujeres, 49
Illes Balears (Les), "2007-2008", Total, 665
Illes Balears (Les), "2007-2008", Mujeres, 69
Illes Balears (Les), "2006-2007", Total, 765
Illes Balears (Les), "2006-2007", Mujeres, 100
Illes Balears (Les), "2005-2006", Total, 799
Illes Balears (Les), "2005-2006", Mujeres, 109
Illes Balears (Les), "2004-2005", Total, 869
Illes Balears (Les), "2004-2005", Mujeres, 135
Illes Balears (Les), "2003-2004", Total, 867
Illes Balears (Les), "2003-2004", Mujeres, 142
Illes Balears (Les), "2002-2003", Total, 817
Illes Balears (Les), "2002-2003", Mujeres, 140
Illes Balears (Les), "2001-2002", Total, 777
Illes Balears (Les), "2001-2002", Mujeres, 120
Illes Balears (Les), "2000-2001", Total, 757
Illes Balears (Les), "2000-2001", Mujeres, 115
Illes Balears (Les), "1999-2000", Total, 688
Illes Balears (Les), "1999-2000", Mujeres, 369
Illes Balears (Les), "1998-1999", Total, 642
Illes Balears (Les), "1998-1999", Mujeres, 102
Illes Balears (Les), "1997-1998", Total, 621
Illes Balears (Les), "1997-1998", Mujeres, 102
Illes Balears (Les), "1996-1997", Total, 682
Illes Balears (Les), "1996-1997", Mujeres, 113
Illes Balears (Les), "1995-1996", Total, 635
Illes Balears (Les), "1995-1996", Mujeres, 107
Illes Balears (Les), "1994-1995", Total, 642
Illes Balears (Les), "1994-1995", Mujeres, 125
Illes Balears (Les), "1993-1994", Total, 631
Illes Balears (Les), "1993-1994", Mujeres, 122
Illes Balears (Les), "1992-1993", Total, 692
Illes Balears (Les), "1992-1993", Mujeres, 140
Illes Balears (Les), "1991-1992", Total, 748
Illes Balears (Les), "1991-1992", Mujeres, 148
Illes Balears (Les), "1990-1991", Total, 678
Illes Balears (Les), "1990-1991", Mujeres, 152
Illes Balears (Les), "1989-1990", Total, 598
Illes Balears (Les), "1989-1990", Mujeres, 130
Illes Balears (Les), "1988-1989", Total, 503
Illes Balears (Les), "1988-1989", Mujeres, 107
Illes Balears (Les), "1987-1988", Total, 400
Illes Balears (Les), "1987-1988", Mujeres, 79
Illes Balears (Les), "1986-1987", Total, 352
Illes Balears (Les), "1986-1987", Mujeres, 80
Illes Balears (Les), "1985-1986", Total, 369
Illes Balears (Les), "1985-1986", Mujeres, 75
Jaume I de Castellón, "2016-2017", Total, 697
Jaume I de Castellón, "2016-2017", Mujeres, 93
Jaume I de Castellón, "2015-2016", Total, 679
Jaume I de Castellón, "2015-2016", Mujeres, 86
Jaume I de Castellón, "2014-2015", Total, 624
Jaume I de Castellón, "2014-2015", Mujeres, 76
Jaume I de Castellón, "2013-2014", Total, 656
Jaume I de Castellón, "2013-2014", Mujeres, 80
Jaume I de Castellón, "2012-2013", Total, 699
Jaume I de Castellón, "2012-2013", Mujeres, 94
Jaume I de Castellón, "2011-2012", Total, 716
Jaume I de Castellón, "2011-2012", Mujeres, 105
Jaume I de Castellón, "2010-2011", Total, 800
Jaume I de Castellón, "2010-2011", Mujeres, 121
Jaume I de Castellón, "2009-2010", Total, 913
Jaume I de Castellón, "2009-2010", Mujeres, 141
Jaume I de Castellón, "2008-2009", Total, 1065
Jaume I de Castellón, "2008-2009", Mujeres, 175
Jaume I de Castellón, "2007-2008", Total, 1187
Jaume I de Castellón, "2007-2008", Mujeres, 199
Jaume I de Castellón, "2006-2007", Total, 1344
Jaume I de Castellón, "2006-2007", Mujeres, 233
Jaume I de Castellón, "2005-2006", Total, 1498
Jaume I de Castellón, "2005-2006", Mujeres, 263
Jaume I de Castellón, "2004-2005", Total, 1618
Jaume I de Castellón, "2004-2005", Mujeres, 285
Jaume I de Castellón, "2003-2004", Total, 1729
Jaume I de Castellón, "2003-2004", Mujeres, 337
Jaume I de Castellón, "2002-2003", Total, 1630
Jaume I de Castellón, "2002-2003", Mujeres, 328
Jaume I de Castellón, "2001-2002", Total, 1520
Jaume I de Castellón, "2001-2002", Mujeres, 308
Jaume I de Castellón, "2000-2001", Total, 1425
Jaume I de Castellón, "2000-2001", Mujeres, 302
Jaume I de Castellón, "1999-2000", Total, 1344
Jaume I de Castellón, "1999-2000", Mujeres, 288
Jaume I de Castellón, "1998-1999", Total, 1270
Jaume I de Castellón, "1998-1999", Mujeres, 278
Jaume I de Castellón, "1997-1998", Total, 1129
Jaume I de Castellón, "1997-1998", Mujeres, 261
Jaume I de Castellón, "1996-1997", Total, 1129
Jaume I de Castellón, "1996-1997", Mujeres, 261
Jaume I de Castellón, "1995-1996", Total, 1035
Jaume I de Castellón, "1995-1996", Mujeres, 232
Jaume I de Castellón, "1994-1995", Total, 878
Jaume I de Castellón, "1994-1995", Mujeres, 206
Jaume I de Castellón, "1993-1994", Total, 785
Jaume I de Castellón, "1993-1994", Mujeres, 192
Jaume I de Castellón, "1992-1993", Total, 561
Jaume I de Castellón, "1992-1993", Mujeres, 142
Jaume I de Castellón, "1991-1992", Total, 321
Jaume I de Castellón, "1991-1992", Mujeres, 67
Jaén, "2016-2017", Total, 506
Jaén, "2016-2017", Mujeres, 46
Jaén, "2015-2016", Total, 487
Jaén, "2015-2016", Mujeres, 52
Jaén, "2014-2015", Total, 476
Jaén, "2014-2015", Mujeres, 49
Jaén, "2013-2014", Total, 495
Jaén, "2013-2014", Mujeres, 60
Jaén, "2012-2013", Total, 531
Jaén, "2012-2013", Mujeres, 77
Jaén, "2011-2012", Total, 587
Jaén, "2011-2012", Mujeres, 86
Jaén, "2010-2011", Total, 590
Jaén, "2010-2011", Mujeres, 96
Jaén, "2009-2010", Total, 601
Jaén, "2009-2010", Mujeres, 111
Jaén, "2008-2009", Total, 683
Jaén, "2008-2009", Mujeres, 127
Jaén, "2007-2008", Total, 695
Jaén, "2007-2008", Mujeres, 135
Jaén, "2006-2007", Total, 814
Jaén, "2006-2007", Mujeres, 167
Jaén, "2005-2006", Total, 850
Jaén, "2005-2006", Mujeres, 168
Jaén, "2004-2005", Total, 824
Jaén, "2004-2005", Mujeres, 161
Jaén, "2003-2004", Total, 748
Jaén, "2003-2004", Mujeres, 158
Jaén, "2002-2003", Total, 775
Jaén, "2002-2003", Mujeres, 178
Jaén, "2001-2002", Total, 779
Jaén, "2001-2002", Mujeres, 192
Jaén, "2000-2001", Total, 708
Jaén, "2000-2001", Mujeres, 166
Jaén, "1999-2000", Total, 644
Jaén, "1999-2000", Mujeres, 153
Jaén, "1998-1999", Total, 580
Jaén, "1998-1999", Mujeres, 150
Jaén, "1997-1998", Total, 531
Jaén, "1997-1998", Mujeres, 141
Jaén, "1996-1997", Total, 461
Jaén, "1996-1997", Mujeres, 107
Jaén, "1995-1996", Total, 382
Jaén, "1995-1996", Mujeres, 87
Jaén, "1994-1995", Total, 310
Jaén, "1994-1995", Mujeres, 72
Jaén, "1993-1994", Total, 210
Jaén, "1993-1994", Mujeres, 47
La Laguna, "2016-2017", Total, 557
La Laguna, "2016-2017", Mujeres, 76
La Laguna, "2015-2016", Total, 590
La Laguna, "2015-2016", Mujeres, 90
La Laguna, "2014-2015", Total, 622
La Laguna, "2014-2015", Mujeres, 91
La Laguna, "2013-2014", Total, 649
La Laguna, "2013-2014", Mujeres, 96
La Laguna, "2012-2013", Total, 654
La Laguna, "2012-2013", Mujeres, 96
La Laguna, "2011-2012", Total, 735
La Laguna, "2011-2012", Mujeres, 107
La Laguna, "2010-2011", Total, 776
La Laguna, "2010-2011", Mujeres, 116
La Laguna, "2009-2010", Total, 749
La Laguna, "2009-2010", Mujeres, 103
La Laguna, "2008-2009", Total, 797
La Laguna, "2008-2009", Mujeres, 119
La Laguna, "2007-2008", Total, 836
La Laguna, "2007-2008", Mujeres, 123
La Laguna, "2006-2007", Total, 857
La Laguna, "2006-2007", Mujeres, 133
La Laguna, "2005-2006", Total, 947
La Laguna, "2005-2006", Mujeres, 139
La Laguna, "2004-2005", Total, 940
La Laguna, "2004-2005", Mujeres, 147
La Laguna, "2003-2004", Total, 908
La Laguna, "2003-2004", Mujeres, 139
La Laguna, "2002-2003", Total, 861
La Laguna, "2002-2003", Mujeres, 132
La Laguna, "2001-2002", Total, 863
La Laguna, "2001-2002", Mujeres, 133
La Laguna, "2000-2001", Total, 838
La Laguna, "2000-2001", Mujeres, 129
La Laguna, "1999-2000", Total, 803
La Laguna, "1999-2000", Mujeres, 135
La Laguna, "1998-1999", Total, 781
La Laguna, "1998-1999", Mujeres, 121
La Laguna, "1997-1998", Total, 779
La Laguna, "1997-1998", Mujeres, 123
La Laguna, "1996-1997", Total, 719
La Laguna, "1996-1997", Mujeres, 118
La Laguna, "1995-1996", Total, 753
La Laguna, "1995-1996", Mujeres, 189
La Laguna, "1994-1995", Total, 635
La Laguna, "1994-1995", Mujeres, 123
La Laguna, "1993-1994", Total, 528
La Laguna, "1993-1994", Mujeres, 122
La Laguna, "1992-1993", Total, 505
La Laguna, "1992-1993", Mujeres, 82
La Laguna, "1991-1992", Total, 656
La Laguna, "1991-1992", Mujeres, 164
La Laguna, "1990-1991", Total, 466
La Laguna, "1990-1991", Mujeres, 92
La Rioja, "2016-2017", Total, 173
La Rioja, "2016-2017", Mujeres, 33
La Rioja, "2015-2016", Total, 174
La Rioja, "2015-2016", Mujeres, 32
La Rioja, "2014-2015", Total, 165
La Rioja, "2014-2015", Mujeres, 28
La Rioja, "2013-2014", Total, 164
La Rioja, "2013-2014", Mujeres, 29
La Rioja, "2012-2013", Total, 237
La Rioja, "2012-2013", Mujeres, 37
La Rioja, "2011-2012", Total, 228
La Rioja, "2011-2012", Mujeres, 48
La Rioja, "2010-2011", Total, 232
La Rioja, "2010-2011", Mujeres, 51
La Rioja, "2009-2010", Total, 236
La Rioja, "2009-2010", Mujeres, 56
La Rioja, "2008-2009", Total, 251
La Rioja, "2008-2009", Mujeres, 55
La Rioja, "2007-2008", Total, 265
La Rioja, "2007-2008", Mujeres, 70
La Rioja, "2006-2007", Total, 283
La Rioja, "2006-2007", Mujeres, 70
La Rioja, "2005-2006", Total, 272
La Rioja, "2005-2006", Mujeres, 69
La Rioja, "2004-2005", Total, 248
La Rioja, "2004-2005", Mujeres, 64
La Rioja, "2003-2004", Total, 168
La Rioja, "2003-2004", Mujeres, 39
La Rioja, "2002-2003", Total, 90
La Rioja, "2002-2003", Mujeres, 27
Las Palmas de Gran Canaria, "2016-2017", Total, 604
Las Palmas de Gran Canaria, "2016-2017", Mujeres, 70
Las Palmas de Gran Canaria, "2015-2016", Total, 567
Las Palmas de Gran Canaria, "2015-2016", Mujeres, 67
Las Palmas de Gran Canaria, "2014-2015", Total, 609
Las Palmas de Gran Canaria, "2014-2015", Mujeres, 80
Las Palmas de Gran Canaria, "2013-2014", Total, 653
Las Palmas de Gran Canaria, "2013-2014", Mujeres, 98
Las Palmas de Gran Canaria, "2012-2013", Total, 687
Las Palmas de Gran Canaria, "2012-2013", Mujeres, 103
Las Palmas de Gran Canaria, "2011-2012", Total, 767
Las Palmas de Gran Canaria, "2011-2012", Mujeres, 119
Las Palmas de Gran Canaria, "2010-2011", Total, 752
Las Palmas de Gran Canaria, "2010-2011", Mujeres, 127
Las Palmas de Gran Canaria, "2009-2010", Total, 802
Las Palmas de Gran Canaria, "2009-2010", Mujeres, 127
Las Palmas de Gran Canaria, "2008-2009", Total, 992
Las Palmas de Gran Canaria, "2008-2009", Mujeres, 162
Las Palmas de Gran Canaria, "2007-2008", Total, 1068
Las Palmas de Gran Canaria, "2007-2008", Mujeres, 179
Las Palmas de Gran Canaria, "2006-2007", Total, 1198
Las Palmas de Gran Canaria, "2006-2007", Mujeres, 211
Las Palmas de Gran Canaria, "2005-2006", Total, 1279
Las Palmas de Gran Canaria, "2005-2006", Mujeres, 233
Las Palmas de Gran Canaria, "2004-2005", Total, 1261
Las Palmas de Gran Canaria, "2004-2005", Mujeres, 239
Las Palmas de Gran Canaria, "2003-2004", Total, 1248
Las Palmas de Gran Canaria, "2003-2004", Mujeres, 244
Las Palmas de Gran Canaria, "2002-2003", Total, 1257
Las Palmas de Gran Canaria, "2002-2003", Mujeres, 250
Las Palmas de Gran Canaria, "2001-2002", Total, 1220
Las Palmas de Gran Canaria, "2001-2002", Mujeres, 255
Las Palmas de Gran Canaria, "2000-2001", Total, 1180
Las Palmas de Gran Canaria, "2000-2001", Mujeres, 263
Las Palmas de Gran Canaria, "1999-2000", Total, 1155
Las Palmas de Gran Canaria, "1999-2000", Mujeres, 234
Las Palmas de Gran Canaria, "1998-1999", Total, 1127
Las Palmas de Gran Canaria, "1998-1999", Mujeres, 220
Las Palmas de Gran Canaria, "1997-1998", Total, 1004
Las Palmas de Gran Canaria, "1997-1998", Mujeres, 196
Las Palmas de Gran Canaria, "1996-1997", Total, 1035
Las Palmas de Gran Canaria, "1996-1997", Mujeres, 207
Las Palmas de Gran Canaria, "1995-1996", Total, 1038
Las Palmas de Gran Canaria, "1995-1996", Mujeres, 204
Las Palmas de Gran Canaria, "1994-1995", Total, 964
Las Palmas de Gran Canaria, "1994-1995", Mujeres, 189
Las Palmas de Gran Canaria, "1993-1994", Total, 1076
Las Palmas de Gran Canaria, "1993-1994", Mujeres, 278
Las Palmas de Gran Canaria, "1992-1993", Total, 1055
Las Palmas de Gran Canaria, "1992-1993", Mujeres, 269
Las Palmas de Gran Canaria, "1991-1992", Total, 939
Las Palmas de Gran Canaria, "1991-1992", Mujeres, 266
Las Palmas de Gran Canaria, "1990-1991", Total, 1144
Las Palmas de Gran Canaria, "1990-1991", Mujeres, 319
Las Palmas de Gran Canaria, "1989-1990", Total, 1227
Las Palmas de Gran Canaria, "1989-1990", Mujeres, 299
Las Palmas de Gran Canaria, "1988-1989", Total, 1224
Las Palmas de Gran Canaria, "1988-1989", Mujeres, 330
Las Palmas de Gran Canaria, "1987-1988", Total, 1049
Las Palmas de Gran Canaria, "1987-1988", Mujeres, 273
Las Palmas de Gran Canaria, "1986-1987", Total, 692
Las Palmas de Gran Canaria, "1986-1987", Mujeres, 193
Las Palmas de Gran Canaria, "1985-1986", Total, 580
Las Palmas de Gran Canaria, "1985-1986", Mujeres, 187
